date,location,new_cases,new_deaths
3/4/2020,Argentina,1,0
3/6/2020,Argentina,1,0
3/7/2020,Argentina,6,0
3/8/2020,Argentina,1,1
3/9/2020,Argentina,3,0
3/11/2020,Argentina,7,0
3/13/2020,Argentina,12,0
3/14/2020,Argentina,3,1
3/15/2020,Argentina,11,0
3/16/2020,Argentina,11,0
3/17/2020,Argentina,9,0
3/18/2020,Argentina,14,0
3/19/2020,Argentina,18,0
3/20/2020,Argentina,31,1
3/21/2020,Argentina,30,0
3/22/2020,Argentina,67,1
3/23/2020,Argentina,41,0
3/24/2020,Argentina,35,0
3/25/2020,Argentina,86,2
3/26/2020,Argentina,115,2
3/27/2020,Argentina,87,4
3/28/2020,Argentina,101,5
3/29/2020,Argentina,55,2
3/30/2020,Argentina,75,1
3/31/2020,Argentina,146,4
4/1/2020,Argentina,0,0
4/2/2020,Argentina,167,7
4/3/2020,Argentina,0,3
4/4/2020,Argentina,132,3
4/5/2020,Argentina,186,6
4/6/2020,Argentina,103,3
4/7/2020,Argentina,74,7
4/8/2020,Argentina,87,7
4/9/2020,Argentina,80,5
4/10/2020,Argentina,99,14
4/11/2020,Argentina,81,3
4/12/2020,Argentina,162,7
4/13/2020,Argentina,66,6
4/14/2020,Argentina,69,3
4/15/2020,Argentina,160,7
4/16/2020,Argentina,0,4
4/17/2020,Argentina,128,6
4/18/2020,Argentina,98,7
4/19/2020,Argentina,170,10
4/20/2020,Argentina,102,2
12/31/2019,Belgium,0,0
1/1/2020,Belgium,0,0
1/2/2020,Belgium,0,0
1/3/2020,Belgium,0,0
1/4/2020,Belgium,0,0
1/5/2020,Belgium,0,0
1/6/2020,Belgium,0,0
1/7/2020,Belgium,0,0
1/8/2020,Belgium,0,0
1/9/2020,Belgium,0,0
1/10/2020,Belgium,0,0
1/11/2020,Belgium,0,0
1/12/2020,Belgium,0,0
1/13/2020,Belgium,0,0
1/14/2020,Belgium,0,0
1/15/2020,Belgium,0,0
1/16/2020,Belgium,0,0
1/17/2020,Belgium,0,0
1/18/2020,Belgium,0,0
1/19/2020,Belgium,0,0
1/20/2020,Belgium,0,0
1/21/2020,Belgium,0,0
1/22/2020,Belgium,0,0
1/23/2020,Belgium,0,0
1/24/2020,Belgium,0,0
1/25/2020,Belgium,0,0
1/26/2020,Belgium,0,0
1/27/2020,Belgium,0,0
1/28/2020,Belgium,0,0
1/29/2020,Belgium,0,0
1/30/2020,Belgium,0,0
1/31/2020,Belgium,0,0
2/1/2020,Belgium,0,0
2/2/2020,Belgium,0,0
2/3/2020,Belgium,0,0
2/4/2020,Belgium,1,0
2/5/2020,Belgium,0,0
2/6/2020,Belgium,0,0
2/7/2020,Belgium,0,0
2/8/2020,Belgium,0,0
2/9/2020,Belgium,0,0
2/10/2020,Belgium,0,0
2/11/2020,Belgium,0,0
2/12/2020,Belgium,0,0
2/13/2020,Belgium,0,0
2/14/2020,Belgium,0,0
2/15/2020,Belgium,0,0
2/16/2020,Belgium,0,0
2/17/2020,Belgium,0,0
2/18/2020,Belgium,0,0
2/19/2020,Belgium,0,0
2/20/2020,Belgium,0,0
2/21/2020,Belgium,0,0
2/22/2020,Belgium,0,0
2/23/2020,Belgium,0,0
2/24/2020,Belgium,0,0
2/25/2020,Belgium,0,0
2/26/2020,Belgium,0,0
2/27/2020,Belgium,0,0
2/28/2020,Belgium,0,0
2/29/2020,Belgium,0,0
3/1/2020,Belgium,0,0
3/2/2020,Belgium,1,0
3/3/2020,Belgium,6,0
3/4/2020,Belgium,5,0
3/5/2020,Belgium,10,0
3/6/2020,Belgium,27,0
3/7/2020,Belgium,59,0
3/8/2020,Belgium,60,0
3/9/2020,Belgium,31,0
3/10/2020,Belgium,39,0
3/11/2020,Belgium,28,0
3/12/2020,Belgium,47,3
3/13/2020,Belgium,85,0
3/14/2020,Belgium,160,0
3/15/2020,Belgium,130,1
3/16/2020,Belgium,197,0
3/17/2020,Belgium,199,1
3/18/2020,Belgium,158,0
3/19/2020,Belgium,243,9
3/20/2020,Belgium,309,7
3/21/2020,Belgium,462,16
3/22/2020,Belgium,558,30
3/23/2020,Belgium,586,8
3/24/2020,Belgium,342,13
3/25/2020,Belgium,526,34
3/26/2020,Belgium,668,56
3/27/2020,Belgium,1298,42
3/28/2020,Belgium,1049,69
3/29/2020,Belgium,1850,64
3/30/2020,Belgium,1702,78
3/31/2020,Belgium,1063,82
4/1/2020,Belgium,876,192
4/2/2020,Belgium,1189,123
4/3/2020,Belgium,1384,183
4/4/2020,Belgium,1422,132
4/5/2020,Belgium,1661,140
4/6/2020,Belgium,1260,164
4/7/2020,Belgium,1123,185
4/8/2020,Belgium,1380,403
4/9/2020,Belgium,1209,205
4/10/2020,Belgium,1580,283
4/11/2020,Belgium,1684,496
4/12/2020,Belgium,1351,327
4/13/2020,Belgium,1629,254
4/14/2020,Belgium,942,303
4/15/2020,Belgium,530,254
4/16/2020,Belgium,2454,283
4/17/2020,Belgium,1236,417
4/18/2020,Belgium,1329,306
4/19/2020,Belgium,1045,290
4/20/2020,Belgium,1313,230
12/31/2019,Brazil,0,0
1/1/2020,Brazil,0,0
1/2/2020,Brazil,0,0
1/3/2020,Brazil,0,0
1/4/2020,Brazil,0,0
1/5/2020,Brazil,0,0
1/6/2020,Brazil,0,0
1/7/2020,Brazil,0,0
1/8/2020,Brazil,0,0
1/9/2020,Brazil,0,0
1/10/2020,Brazil,0,0
1/11/2020,Brazil,0,0
1/12/2020,Brazil,0,0
1/13/2020,Brazil,0,0
1/14/2020,Brazil,0,0
1/15/2020,Brazil,0,0
1/16/2020,Brazil,0,0
1/17/2020,Brazil,0,0
1/18/2020,Brazil,0,0
1/19/2020,Brazil,0,0
1/20/2020,Brazil,0,0
1/21/2020,Brazil,0,0
1/22/2020,Brazil,0,0
1/23/2020,Brazil,0,0
1/24/2020,Brazil,0,0
1/25/2020,Brazil,0,0
1/26/2020,Brazil,0,0
1/27/2020,Brazil,0,0
1/28/2020,Brazil,0,0
1/29/2020,Brazil,0,0
1/30/2020,Brazil,0,0
1/31/2020,Brazil,0,0
2/1/2020,Brazil,0,0
2/2/2020,Brazil,0,0
2/3/2020,Brazil,0,0
2/4/2020,Brazil,0,0
2/5/2020,Brazil,0,0
2/6/2020,Brazil,0,0
2/7/2020,Brazil,0,0
2/8/2020,Brazil,0,0
2/9/2020,Brazil,0,0
2/10/2020,Brazil,0,0
2/11/2020,Brazil,0,0
2/12/2020,Brazil,0,0
2/13/2020,Brazil,0,0
2/14/2020,Brazil,0,0
2/15/2020,Brazil,0,0
2/16/2020,Brazil,0,0
2/17/2020,Brazil,0,0
2/18/2020,Brazil,0,0
2/19/2020,Brazil,0,0
2/20/2020,Brazil,0,0
2/21/2020,Brazil,0,0
2/22/2020,Brazil,0,0
2/23/2020,Brazil,0,0
2/24/2020,Brazil,0,0
2/25/2020,Brazil,0,0
2/26/2020,Brazil,1,0
2/27/2020,Brazil,0,0
2/28/2020,Brazil,0,0
2/29/2020,Brazil,0,0
3/1/2020,Brazil,1,0
3/2/2020,Brazil,0,0
3/3/2020,Brazil,0,0
3/4/2020,Brazil,0,0
3/5/2020,Brazil,1,0
3/6/2020,Brazil,5,0
3/7/2020,Brazil,5,0
3/8/2020,Brazil,0,0
3/9/2020,Brazil,12,0
3/10/2020,Brazil,0,0
3/11/2020,Brazil,9,0
3/12/2020,Brazil,18,0
3/13/2020,Brazil,25,0
3/14/2020,Brazil,21,0
3/15/2020,Brazil,23,0
3/16/2020,Brazil,79,0
3/17/2020,Brazil,34,0
3/18/2020,Brazil,57,1
3/19/2020,Brazil,137,3
3/20/2020,Brazil,193,2
3/21/2020,Brazil,283,5
3/22/2020,Brazil,224,7
3/23/2020,Brazil,418,7
3/24/2020,Brazil,345,9
3/25/2020,Brazil,310,12
3/26/2020,Brazil,232,11
3/27/2020,Brazil,482,20
3/28/2020,Brazil,502,15
3/29/2020,Brazil,487,22
3/30/2020,Brazil,352,22
3/31/2020,Brazil,323,23
4/1/2020,Brazil,1138,42
4/2/2020,Brazil,1119,40
4/3/2020,Brazil,1074,58
4/4/2020,Brazil,1146,60
4/5/2020,Brazil,1222,73
4/6/2020,Brazil,852,54
4/7/2020,Brazil,926,67
4/8/2020,Brazil,1661,114
4/9/2020,Brazil,2210,133
4/10/2020,Brazil,1930,141
4/11/2020,Brazil,1781,115
4/12/2020,Brazil,1089,68
4/13/2020,Brazil,1442,99
4/14/2020,Brazil,1261,105
4/15/2020,Brazil,1832,204
4/16/2020,Brazil,3058,204
4/17/2020,Brazil,2105,188
4/18/2020,Brazil,3257,217
4/19/2020,Brazil,2917,206
4/20/2020,Brazil,2055,115
12/31/2019,Canada,0,0
1/1/2020,Canada,0,0
1/2/2020,Canada,0,0
1/3/2020,Canada,0,0
1/4/2020,Canada,0,0
1/5/2020,Canada,0,0
1/6/2020,Canada,0,0
1/7/2020,Canada,0,0
1/8/2020,Canada,0,0
1/9/2020,Canada,0,0
1/10/2020,Canada,0,0
1/11/2020,Canada,0,0
1/12/2020,Canada,0,0
1/13/2020,Canada,0,0
1/14/2020,Canada,0,0
1/15/2020,Canada,0,0
1/16/2020,Canada,0,0
1/17/2020,Canada,0,0
1/18/2020,Canada,0,0
1/19/2020,Canada,0,0
1/20/2020,Canada,0,0
1/21/2020,Canada,0,0
1/22/2020,Canada,0,0
1/23/2020,Canada,0,0
1/24/2020,Canada,0,0
1/25/2020,Canada,0,0
1/26/2020,Canada,1,0
1/27/2020,Canada,0,0
1/28/2020,Canada,1,0
1/29/2020,Canada,1,0
1/30/2020,Canada,0,0
1/31/2020,Canada,0,0
2/1/2020,Canada,1,0
2/2/2020,Canada,0,0
2/3/2020,Canada,0,0
2/4/2020,Canada,0,0
2/5/2020,Canada,1,0
2/6/2020,Canada,0,0
2/7/2020,Canada,2,0
2/8/2020,Canada,0,0
2/9/2020,Canada,0,0
2/10/2020,Canada,0,0
2/11/2020,Canada,0,0
2/12/2020,Canada,0,0
2/13/2020,Canada,0,0
2/14/2020,Canada,0,0
2/15/2020,Canada,1,0
2/16/2020,Canada,0,0
2/17/2020,Canada,0,0
2/18/2020,Canada,0,0
2/19/2020,Canada,0,0
2/20/2020,Canada,0,0
2/21/2020,Canada,1,0
2/22/2020,Canada,0,0
2/23/2020,Canada,0,0
2/24/2020,Canada,0,0
2/25/2020,Canada,2,0
2/26/2020,Canada,0,0
2/27/2020,Canada,1,0
2/28/2020,Canada,2,0
2/29/2020,Canada,2,0
3/1/2020,Canada,4,0
3/2/2020,Canada,4,0
3/3/2020,Canada,3,0
3/4/2020,Canada,3,0
3/5/2020,Canada,3,0
3/6/2020,Canada,12,0
3/7/2020,Canada,6,0
3/8/2020,Canada,6,0
3/9/2020,Canada,5,0
3/10/2020,Canada,15,1
3/11/2020,Canada,16,0
3/12/2020,Canada,10,0
3/13/2020,Canada,35,0
3/14/2020,Canada,38,0
3/15/2020,Canada,68,0
3/16/2020,Canada,60,0
3/17/2020,Canada,120,3
3/18/2020,Canada,145,4
3/19/2020,Canada,121,1
3/20/2020,Canada,156,1
3/21/2020,Canada,125,2
3/22/2020,Canada,331,6
3/23/2020,Canada,128,2
3/24/2020,Canada,216,4
3/25/2020,Canada,313,3
3/26/2020,Canada,1426,8
3/27/2020,Canada,633,4
3/28/2020,Canada,657,14
3/29/2020,Canada,711,7
3/30/2020,Canada,869,1
3/31/2020,Canada,1169,28
4/1/2020,Canada,1112,7
4/2/2020,Canada,1059,13
4/3/2020,Canada,1673,29
4/4/2020,Canada,1251,49
4/5/2020,Canada,1363,44
4/6/2020,Canada,1614,49
4/7/2020,Canada,1157,43
4/8/2020,Canada,1230,57
4/9/2020,Canada,1391,55
4/10/2020,Canada,1474,74
4/11/2020,Canada,1385,60
4/12/2020,Canada,1168,84
4/13/2020,Canada,1064,64
4/14/2020,Canada,1298,63
4/15/2020,Canada,1383,123
4/16/2020,Canada,1318,107
4/17/2020,Canada,1717,183
4/18/2020,Canada,1791,116
4/19/2020,Canada,1469,158
4/20/2020,Canada,1436,113
12/31/2019,China,27,0
1/1/2020,China,0,0
1/2/2020,China,0,0
1/3/2020,China,17,0
1/4/2020,China,0,0
1/5/2020,China,15,0
1/6/2020,China,0,0
1/7/2020,China,0,0
1/8/2020,China,0,0
1/9/2020,China,0,0
1/10/2020,China,0,0
1/11/2020,China,0,1
1/12/2020,China,0,0
1/13/2020,China,0,0
1/14/2020,China,0,0
1/15/2020,China,0,1
1/16/2020,China,0,0
1/17/2020,China,4,0
1/18/2020,China,17,0
1/19/2020,China,136,1
1/20/2020,China,19,0
1/21/2020,China,151,3
1/22/2020,China,140,11
1/23/2020,China,97,0
1/24/2020,China,259,9
1/25/2020,China,441,15
1/26/2020,China,665,15
1/27/2020,China,787,25
1/28/2020,China,1753,25
1/29/2020,China,1466,26
1/30/2020,China,1740,38
1/31/2020,China,1980,43
2/1/2020,China,2095,46
2/2/2020,China,2590,45
2/3/2020,China,2812,57
2/4/2020,China,3237,65
2/5/2020,China,3872,66
2/6/2020,China,3727,72
2/7/2020,China,3160,73
2/8/2020,China,3418,86
2/9/2020,China,2607,89
2/10/2020,China,2974,97
2/11/2020,China,2490,108
2/12/2020,China,2028,97
2/13/2020,China,15141,254
2/14/2020,China,4156,13
2/15/2020,China,2538,143
2/16/2020,China,2007,142
2/17/2020,China,2052,105
2/18/2020,China,1890,98
2/19/2020,China,1750,139
2/20/2020,China,394,112
2/21/2020,China,891,118
2/22/2020,China,826,109
2/23/2020,China,647,98
2/24/2020,China,218,150
2/25/2020,China,515,70
2/26/2020,China,410,52
2/27/2020,China,439,29
2/28/2020,China,329,44
2/29/2020,China,428,47
3/1/2020,China,574,35
3/2/2020,China,205,42
3/3/2020,China,127,32
3/4/2020,China,119,37
3/5/2020,China,117,31
3/6/2020,China,170,30
3/7/2020,China,101,28
3/8/2020,China,46,27
3/9/2020,China,45,23
3/10/2020,China,20,17
3/11/2020,China,29,22
3/12/2020,China,24,11
3/13/2020,China,22,7
3/14/2020,China,19,15
3/15/2020,China,22,9
3/16/2020,China,25,13
3/17/2020,China,43,9
3/18/2020,China,23,16
3/19/2020,China,44,8
3/20/2020,China,99,4
3/21/2020,China,52,6
3/22/2020,China,65,6
3/23/2020,China,138,9
3/24/2020,China,69,7
3/25/2020,China,78,4
3/26/2020,China,102,6
3/27/2020,China,94,5
3/28/2020,China,119,3
3/29/2020,China,113,5
3/30/2020,China,98,2
3/31/2020,China,84,3
4/1/2020,China,54,1
4/2/2020,China,100,6
4/3/2020,China,70,10
4/4/2020,China,62,4
4/5/2020,China,48,3
4/6/2020,China,67,2
4/7/2020,China,56,0
4/8/2020,China,86,2
4/9/2020,China,86,2
4/10/2020,China,55,1
4/11/2020,China,79,3
4/12/2020,China,93,0
4/13/2020,China,112,2
4/14/2020,China,94,0
4/15/2020,China,49,1
4/16/2020,China,50,0
4/17/2020,China,352,1290
4/18/2020,China,31,0
4/19/2020,China,18,0
4/20/2020,China,14,0
12/31/2019,France,0,0
1/1/2020,France,0,0
1/2/2020,France,0,0
1/3/2020,France,0,0
1/4/2020,France,0,0
1/5/2020,France,0,0
1/6/2020,France,0,0
1/7/2020,France,0,0
1/8/2020,France,0,0
1/9/2020,France,0,0
1/10/2020,France,0,0
1/11/2020,France,0,0
1/12/2020,France,0,0
1/13/2020,France,0,0
1/14/2020,France,0,0
1/15/2020,France,0,0
1/16/2020,France,0,0
1/17/2020,France,0,0
1/18/2020,France,0,0
1/19/2020,France,0,0
1/20/2020,France,0,0
1/21/2020,France,0,0
1/22/2020,France,0,0
1/23/2020,France,0,0
1/24/2020,France,0,0
1/25/2020,France,3,0
1/26/2020,France,0,0
1/27/2020,France,0,0
1/28/2020,France,0,0
1/29/2020,France,1,0
1/30/2020,France,1,0
1/31/2020,France,1,0
2/1/2020,France,0,0
2/2/2020,France,0,0
2/3/2020,France,0,0
2/4/2020,France,0,0
2/5/2020,France,0,0
2/6/2020,France,0,0
2/7/2020,France,0,0
2/8/2020,France,5,0
2/9/2020,France,0,0
2/10/2020,France,0,0
2/11/2020,France,0,0
2/12/2020,France,0,0
2/13/2020,France,0,0
2/14/2020,France,0,0
2/15/2020,France,0,1
2/16/2020,France,0,0
2/17/2020,France,1,0
2/18/2020,France,0,0
2/19/2020,France,0,0
2/20/2020,France,0,0
2/21/2020,France,0,0
2/22/2020,France,0,0
2/23/2020,France,0,0
2/24/2020,France,0,0
2/25/2020,France,0,0
2/26/2020,France,2,0
2/27/2020,France,3,1
2/28/2020,France,21,0
2/29/2020,France,19,0
3/1/2020,France,43,0
3/2/2020,France,30,0
3/3/2020,France,48,1
3/4/2020,France,34,1
3/5/2020,France,73,0
3/6/2020,France,138,3
3/7/2020,France,190,2
3/8/2020,France,103,1
3/9/2020,France,410,9
3/10/2020,France,286,11
3/11/2020,France,372,3
3/12/2020,France,497,15
3/13/2020,France,595,13
3/14/2020,France,785,18
3/15/2020,France,838,12
3/16/2020,France,924,36
3/17/2020,France,1210,21
3/18/2020,France,1097,27
3/19/2020,France,1404,69
3/20/2020,France,1861,128
3/21/2020,France,1617,78
3/22/2020,France,1847,112
3/23/2020,France,1559,112
3/24/2020,France,3838,186
3/25/2020,France,2446,240
3/26/2020,France,2931,231
3/27/2020,France,3922,365
3/28/2020,France,3809,299
3/29/2020,France,4611,319
3/30/2020,France,2599,292
3/31/2020,France,4376,418
4/1/2020,France,7578,499
4/2/2020,France,4861,509
4/3/2020,France,2116,471
4/4/2020,France,5233,2004
4/5/2020,France,4267,1053
4/6/2020,France,1873,518
4/7/2020,France,3912,833
4/8/2020,France,3777,1417
4/9/2020,France,3881,541
4/10/2020,France,4286,1341
4/11/2020,France,4342,987
4/12/2020,France,3114,635
4/13/2020,France,1613,561
4/14/2020,France,2673,574
4/15/2020,France,5497,762
4/16/2020,France,2633,1438
4/17/2020,France,2641,753
4/18/2020,France,405,761
4/19/2020,France,2569,642
4/20/2020,France,785,395
12/31/2019,Germany,0,0
1/1/2020,Germany,0,0
1/2/2020,Germany,0,0
1/3/2020,Germany,0,0
1/4/2020,Germany,0,0
1/5/2020,Germany,0,0
1/6/2020,Germany,0,0
1/7/2020,Germany,0,0
1/8/2020,Germany,0,0
1/9/2020,Germany,0,0
1/10/2020,Germany,0,0
1/11/2020,Germany,0,0
1/12/2020,Germany,0,0
1/13/2020,Germany,0,0
1/14/2020,Germany,0,0
1/15/2020,Germany,0,0
1/16/2020,Germany,0,0
1/17/2020,Germany,0,0
1/18/2020,Germany,0,0
1/19/2020,Germany,0,0
1/20/2020,Germany,0,0
1/21/2020,Germany,0,0
1/22/2020,Germany,0,0
1/23/2020,Germany,0,0
1/24/2020,Germany,0,0
1/25/2020,Germany,0,0
1/26/2020,Germany,0,0
1/27/2020,Germany,0,0
1/28/2020,Germany,1,0
1/29/2020,Germany,3,0
1/30/2020,Germany,0,0
1/31/2020,Germany,1,0
2/1/2020,Germany,2,0
2/2/2020,Germany,1,0
2/3/2020,Germany,1,0
2/4/2020,Germany,2,0
2/5/2020,Germany,0,0
2/6/2020,Germany,0,0
2/7/2020,Germany,1,0
2/8/2020,Germany,1,0
2/9/2020,Germany,0,0
2/10/2020,Germany,0,0
2/11/2020,Germany,0,0
2/12/2020,Germany,2,0
2/13/2020,Germany,0,0
2/14/2020,Germany,0,0
2/15/2020,Germany,0,0
2/16/2020,Germany,0,0
2/17/2020,Germany,0,0
2/18/2020,Germany,0,0
2/19/2020,Germany,0,0
2/20/2020,Germany,0,0
2/21/2020,Germany,0,0
2/22/2020,Germany,0,0
2/23/2020,Germany,0,0
2/24/2020,Germany,0,0
2/25/2020,Germany,0,0
2/26/2020,Germany,2,0
2/27/2020,Germany,4,0
2/28/2020,Germany,26,0
2/29/2020,Germany,10,0
3/1/2020,Germany,54,0
3/2/2020,Germany,18,0
3/3/2020,Germany,28,0
3/4/2020,Germany,39,0
3/5/2020,Germany,66,0
3/6/2020,Germany,138,0
3/7/2020,Germany,284,0
3/8/2020,Germany,163,0
3/9/2020,Germany,55,0
3/10/2020,Germany,237,2
3/11/2020,Germany,157,0
3/12/2020,Germany,271,1
3/13/2020,Germany,802,2
3/14/2020,Germany,693,0
3/15/2020,Germany,733,3
3/16/2020,Germany,1043,4
3/17/2020,Germany,1174,1
3/18/2020,Germany,1144,0
3/19/2020,Germany,1042,0
3/20/2020,Germany,5940,30
3/21/2020,Germany,4049,2
3/22/2020,Germany,3276,22
3/23/2020,Germany,3311,27
3/24/2020,Germany,4438,32
3/25/2020,Germany,2342,23
3/26/2020,Germany,4954,49
3/27/2020,Germany,5780,55
3/28/2020,Germany,6294,72
3/29/2020,Germany,3965,64
3/30/2020,Germany,4751,66
3/31/2020,Germany,4615,128
4/1/2020,Germany,5453,149
4/2/2020,Germany,6156,140
4/3/2020,Germany,6174,145
4/4/2020,Germany,6082,141
4/5/2020,Germany,5936,184
4/6/2020,Germany,3677,92
4/7/2020,Germany,3834,173
4/8/2020,Germany,4003,254
4/9/2020,Germany,4974,246
4/10/2020,Germany,5323,266
4/11/2020,Germany,4133,171
4/12/2020,Germany,2821,129
4/13/2020,Germany,2537,126
4/14/2020,Germany,2082,170
4/15/2020,Germany,2486,285
4/16/2020,Germany,2866,315
4/17/2020,Germany,3380,299
4/18/2020,Germany,3609,242
4/19/2020,Germany,2458,184
4/20/2020,Germany,1775,110
3/5/2020,Hungary,2,0
3/7/2020,Hungary,2,0
3/8/2020,Hungary,3,0
3/9/2020,Hungary,1,0
3/10/2020,Hungary,1,0
3/11/2020,Hungary,3,0
3/12/2020,Hungary,1,0
3/13/2020,Hungary,3,0
3/14/2020,Hungary,9,0
3/15/2020,Hungary,6,0
3/16/2020,Hungary,8,1
3/17/2020,Hungary,11,0
3/18/2020,Hungary,0,0
3/19/2020,Hungary,23,0
3/20/2020,Hungary,12,0
3/21/2020,Hungary,18,3
3/22/2020,Hungary,28,0
3/23/2020,Hungary,36,3
3/24/2020,Hungary,20,1
3/25/2020,Hungary,39,2
3/26/2020,Hungary,35,0
3/27/2020,Hungary,39,0
3/28/2020,Hungary,43,1
3/29/2020,Hungary,65,2
3/30/2020,Hungary,39,2
3/31/2020,Hungary,45,1
4/1/2020,Hungary,33,4
4/2/2020,Hungary,60,1
4/3/2020,Hungary,38,5
4/4/2020,Hungary,55,6
4/5/2020,Hungary,55,2
4/6/2020,Hungary,11,4
4/7/2020,Hungary,73,9
4/8/2020,Hungary,78,11
4/9/2020,Hungary,85,8
4/10/2020,Hungary,210,11
4/11/2020,Hungary,120,8
4/12/2020,Hungary,100,14
4/13/2020,Hungary,48,10
4/14/2020,Hungary,54,13
4/15/2020,Hungary,67,12
4/16/2020,Hungary,73,8
4/17/2020,Hungary,111,14
4/18/2020,Hungary,71,16
4/19/2020,Hungary,82,17
4/20/2020,Hungary,68,10
12/31/2019,India,0,0
1/1/2020,India,0,0
1/2/2020,India,0,0
1/3/2020,India,0,0
1/4/2020,India,0,0
1/5/2020,India,0,0
1/6/2020,India,0,0
1/7/2020,India,0,0
1/8/2020,India,0,0
1/9/2020,India,0,0
1/10/2020,India,0,0
1/11/2020,India,0,0
1/12/2020,India,0,0
1/13/2020,India,0,0
1/14/2020,India,0,0
1/15/2020,India,0,0
1/16/2020,India,0,0
1/17/2020,India,0,0
1/18/2020,India,0,0
1/19/2020,India,0,0
1/20/2020,India,0,0
1/21/2020,India,0,0
1/22/2020,India,0,0
1/23/2020,India,0,0
1/24/2020,India,0,0
1/25/2020,India,0,0
1/26/2020,India,0,0
